Date,Open,High,Low,Close,Adj Close,Volume
1997-07-09,18.4363,18.6554,18.3239,18.3989,18.3989,6656337
1997-07-10,18.3604,18.7481,18.3239,18.7481,18.7481,5446294
1997-07-11,18.8813,19.1989,18.7954,19.0943,19.0943,5384534
1997-07-14,19.0075,19.0499,18.5745,18.6554,18.6554,3540230
1997-07-15,18.6554,18.6554,18.2608,18.4511,18.4511,3412063
1997-07-16,18.5745,18.904,18.4739,18.8468,18.8468,3763759
1997-07-17,18.9927,19.0283,18.7008,18.7214,18.7214,3348664
1997-07-18,18.4275,18.5991,18.1374,18.1572,18.1572,4178589
1997-07-21,18.2835,19.0499,18.1947,18.9473,18.9473,4548322
1997-07-22,19.0283,19.1772,18.2371,18.755,18.755,5236423
1997-07-23,19.1605,19.1772,18.4057,18.5991,18.5991,4622111
1997-07-24,18.5991,18.6327,18.2164,18.3604,18.3604,4155908
1997-07-25,18.824,19.0737,18.7214,18.9701,18.9701,4273415
1997-07-28,18.8694,19.346,18.8694,19.2196,19.2196,5092954
1997-07-29,19.4318,19.9742,19.2838,19.9516,19.9516,4485201
1997-07-30,19.9516,20.0068,19.7247,19.8628,19.8628,2180433
1997-07-31,19.849,19.8628,18.7008,18.7008,18.7008,4540399
1997-08-01,19.1368,19.8244,19.1161,19.6793,19.6793,5199257
1997-08-04,19.6359,19.6793,19.1772,19.6557,19.6557,3373533
1997-08-05,19.7021,19.7021,19.408,19.5353,19.5353,2553725
1997-08-06,19.6172,19.8628,19.3232,19.5353,19.5353,3027572
1997-08-07,20.4478,20.5721,20.2002,20.2643,20.2643,3771418
1997-08-08,19.7021,20.0562,19.3666,19.489,19.489,4681956
1997-08-11,19.7819,19.929,19.5107,19.7819,19.7819,2752114
1997-08-12,19.6359,19.8244,19.4318,19.5551,19.5551,2880825
1997-08-13,19.7247,19.8855,19.489,19.8036,19.8036,3747644
1997-08-14,19.8628,19.9742,19.4682,19.849,19.849,3107366
1997-08-15,19.6172,19.7021,19.3864,19.3864,19.3864,2599080
1997-08-18,19.346,19.5107,19.1605,19.489,19.489,3340743
1997-08-19,19.5107,19.8855,19.5107,19.8855,19.8855,2865521
1997-08-20,19.8855,20.3452,19.6359,20.3452,20.3452,3362059
1997-08-21,20.1755,20.4705,19.8628,20.0739,20.0739,2881366
1997-08-22,19.7247,19.9072,19.2394,19.7819,19.7819,3431192
1997-08-25,19.8628,20.1203,19.7819,19.9516,19.9516,1859338
1997-08-26,19.7021,20.0068,19.4446,19.5767,19.5767,1975205
1997-08-27,19.5767,20.142,19.489,20.0562,20.0562,2889569
1997-08-28,19.996,20.0068,19.2838,19.2966,19.2966,3805032
1997-08-29,19.2966,19.6172,19.0737,19.3864,19.3864,3593516
1997-09-02,19.346,19.8244,19.2966,19.5107,19.5107,3068291
1997-09-03,19.5915,20.0068,19.5767,19.9742,19.9742,2952696
1997-09-04,18.8813,19.2838,18.7008,18.824,18.824,9070143
1997-09-05,19.0155,19.1368,18.7214,18.9927,18.9927,4650258
1997-09-08,18.9473,19.0499,18.7796,18.824,18.824,2123589
1997-09-09,18.7008,18.7214,18.4057,18.4659,18.4659,3376539
1997-09-10,18.4275,18.4275,17.7793,17.8425,17.8425,5351471
1997-09-11,17.6955,18.0477,17.6955,17.9017,17.9017,3977461
