Date,Open,High,Low,Close,Adj Close,Volume
1980-11-13,3.02468,3.06194,3.02468,3.06194,3.06194,12207283
1980-11-14,3.06194,3.11163,3.04949,3.08041,3.08041,10802922
1980-11-17,3.08041,3.11163,3.07429,3.11163,3.11163,6970045
1980-11-18,3.11163,3.19274,3.11163,3.17397,3.17397,9972729
1980-11-19,3.17397,3.29835,3.17397,3.23008,3.23008,8700274
1980-11-20,3.23008,3.27978,3.21092,3.26101,3.26101,8126115
1980-11-21,3.26101,3.30458,3.24224,3.26724,3.26724,5366546
1980-11-24,3.24224,3.24224,3.18642,3.22414,3.22414,6287264
1980-11-25,3.22414,3.24224,3.14898,3.19887,3.19887,7360574
1980-11-26,3.20499,3.26101,3.20499,3.23008,3.23008,6610556
1980-11-28,3.23611,3.29223,3.23611,3.27376,3.27376,3447521
1980-12-01,3.27376,3.27376,3.19887,3.20499,3.20499,3623388
1980-12-02,3.20499,3.21092,3.11163,3.14898,3.14898,5816560
1980-12-03,3.14898,3.15539,3.11766,3.1305,3.1305,3437176
1980-12-04,3.1305,3.1305,3.06816,3.06816,3.06816,6051908
1980-12-05,3.04366,3.04366,2.98112,2.98112,2.98112,7758863
1980-12-08,2.96226,2.96226,2.91255,2.925,2.925,9879620
1980-12-09,2.925,2.97479,2.89389,2.95603,2.95603,6995906
1980-12-10,2.95603,3.01215,2.95,2.96857,2.96857,10448601
1980-12-11,2.95603,2.95603,2.86899,2.89389,2.89389,10704648
1980-12-12,2.90623,2.95,2.90623,2.93123,2.93123,7908867
1980-12-15,2.93123,2.97479,2.93123,2.94358,2.94358,3954438
1980-12-16,2.94358,3.05581,2.94358,3.03713,3.03713,6530375
1980-12-17,3.06816,3.14898,3.06816,3.14295,3.14295,6168299
1980-12-18,3.14295,3.19274,3.1054,3.1054,3.1054,9359773
1980-12-19,3.1054,3.1054,3.05581,3.06194,3.06194,11620195
1980-12-22,3.06194,3.07429,3.01847,3.04366,3.04366,5687245
1980-12-23,3.04366,3.05581,2.98112,2.99377,2.99377,7205402
1980-12-24,2.99377,2.99969,2.98112,2.99377,2.99377,2648357
1980-12-26,2.99377,3.01215,2.97479,3.01215,3.01215,2700089
1980-12-29,3.01215,3.01215,2.98715,2.98715,2.98715,2123341
1980-12-30,2.99377,3.01847,2.99377,3.00592,3.00592,1854368
1980-12-31,3.00592,3.03713,2.99377,2.99969,2.99969,2687150
1981-01-02,2.99969,3.02468,2.98715,3.01847,3.01847,2356105
1981-01-05,3.01847,3.04366,3.01847,3.01847,3.01847,6054498
1981-01-06,3.01847,3.05581,2.96857,2.99969,2.99969,5801043
1981-01-07,2.95603,2.95603,2.90623,2.94358,2.94358,10195148
1981-01-08,2.93755,2.93755,2.81288,2.85644,2.85644,12584878
1981-01-09,2.85644,2.88144,2.81901,2.88144,2.88144,7756283
